---
PARTS LIST
TMC4671+TMC6100-BOB_V10
Thursday, September 26, 2019
---
#   QTY  REFDES                                                                                               VALUE                PACKAGE              H     ASSY  PN         MANUFACTURER                   MANUFACTURER_PN                SUPPLIER                       SUPPLIER_PN                   
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1     2 R403, R408                                                                                           0R003/1%/3W          2512                 0.9   SMD   RE4CFDED   Bourns                         CRE2512-FZ-R003E-3             DigiKey                        CRE2512-FZ-R003E-3CT-ND       
 2     3 FID201-FID203                                                                                        1 mm                 FID100               0     NA    ME57F1D3                                                                                                                              
 3     6 R206, R305-R307, R404, R405                                                                          1k/1%                0603                 0.55  SMD   REE225C4   Panasonic                      ERJ-3EKF1001V                  DigiKey                        P1.00KHCT-ND                  
 4     3 C322-C324                                                                                            1nF/100V             0603                 0.9   SMD   CA7BA082   Kemet                          C0603C102K1RACTU               DigiKey                        399-7831-1-ND                 
 5     2 C417, C420                                                                                           2.2nF/50V            0603                 0.9   SMD   CAA2E660   Kemet                          C0603C222K5RACTU               DigiKey                        399-1085-1-ND                 
 6     2 C402, C403                                                                                           2.2uF/16V            0603                 0.9   SMD   CAE3FFD5   Taiyo Yuden                    EMK107BB7225KA-T               DigiKey                        587-5835-1-ND                 
 7     3 C412-C414                                                                                            2.2uF/100V           1210                 2.1   SMD   CA33A3BE   Taiyo Yuden                    HMK325B7225KN-T                DigiKey                        587-1778-1-ND                 
 8     2 C301, C306                                                                                           4.7uF/16V            0805                 1.4   SMD   CAA99039   Kemet                          C0805C475K4RACTU               DigiKey                        399-7415-1-ND                 
 9    13 R207, R208, R302-R304, R314, R316-R322                                                               4k7/1%               0603                 0.55  SMD   REEB20E6   Panasonic                      ERJ-3EKF4701V                  DigiKey                        P4.70KHCT-ND                  
10     1 R301                                                                                                 10k/1%               0603                 0.55  SMD   RE376A23   Panasonic                      ERJ-3EKF1002V                  DigiKey                        P10.0KHCT-ND                  
11     1 R315                                                                                                 10k/1%               0603                 1     SMD   RE596FC2   Murata                         NCP18XH103F03RB                DigiKey                        490-4800-1-ND                 
12     1 C405                                                                                                 22nF/100V            0603                 0.9   SMD   CA8FD674   Kemet                          C0603C223K1RACTU               DigiKey                        399-3476-1-ND                 
13     1 X301                                                                                                 25MHz                MC2016               0.8   SMD   OSC403FD   Kyocera                        MC2016K25.0000C16ESH           DigiKey                        1253-1767-1-ND                
14     6 R401, R402, R406, R407, R411, R412                                                                   39R/1%               0603                 0.55  SMD   RE6DAB3B   Panasonic                      ERJ-3EKF39R0V                  DigiKey                        P39.0HCT-ND                   
15     1 R205                                                                                                 47k/1%               0603                 0.55  SMD   RE0B321D   Panasonic                      ERJ-3EKF4702V                  DigiKey                        P47.0KHCT-ND                  
16     1 C201                                                                                                 47uF/63V             EL63                 12.7  THM   CADC5A34   Panasonic                      EEU-FR1J470                    DigiKey                        P15400-ND                     
17     2 IC302, IC303                                                                                         74LVC3G17            VSSOP8               1     SMD   ICA678B7   Nexperia                       74LVC3G17DC,125                DigiKey                        1727-7043-1-ND                
18    21 C203, C204, C302-C305, C307, C309-C314, C321, C328, C329, C404, C415, C416, C418, C419               100nF/50V            0603                 0.95  SMD   CA1180F6   Murata                         GRM188R71H104KA93D             DigiKey                        490-1519-1-ND490-1519-1-ND    
19     3 C401, C406, C407                                                                                     100nF/100V           0805                 1.45  SMD   CABBED96   TDK                            C2012X7R2A104K125AA            DigiKey                        445-1418-1-ND                 
